"CID";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"CID-I";3883;50891;47656;47522;43247;44689;43296;43433;44843;47014;46379;46019;49018;70299;112517;56757;48772;58560;48816;953611
"CID-II";3938;50101;51620;51867;52086;55219;57133;61784;62234;62466;64751;64164;68618;60918;61781;69737;72224;75329;74211;1120181
"CID-IV";1074;19271;19148;18554;17364;16836;15573;16493;15558;14669;13840;13754;13458;10949;11027;12305;12768;13247;13222;269110
"CID-V";1482;25128;31034;33790;35753;34693;36943;38117;36561;35729;37682;39409;41609;33807;34334;37561;41277;40817;39332;655058
"CID-VI";1273;17113;17048;16506;16990;17062;17626;18084;17619;16332;16958;15675;16670;13139;13389;16602;18088;17456;16803;300433
"CID-VII";112;2752;3009;3279;3193;3223;3627;4418;5012;5647;6825;6228;6847;4515;6370;7683;6852;7265;6959;93816
"CID-VIII";109;1264;1260;1436;1375;1352;1372;1609;1722;1659;1634;1741;1856;881;941;1576;1753;2121;2275;27936
"CID-IX";6894;95268;95458;93853;91325;89696;93064;97068;93788;93218;93252;91980;93378;79963;80207;89675;92685;96763;91371;1658906
"CID-X";5415;112733;119920;116032;109979;105708;110165;103719;101926;103822;96726;93400;92222;49640;57725;93690;91812;97399;90847;1752880
"CID-XI";3974;72280;72311;72049;71009;76795;79682;83773;81062;78150;78916;78504;82663;65489;66618;83823;90421;92775;93265;1423559
"CID-XII";507;7829;8967;9676;10002;10419;10988;12808;13285;11610;11117;11289;13344;9984;9871;12479;15150;19024;17424;215773
"CID-XIII";1482;18729;15312;15533;15106;15721;17437;19117;17420;16432;16572;16077;16752;12457;12059;16796;19111;20291;23240;305644
"CID-XIV";2423;43485;46411;46919;46385;48949;48149;52829;51891;48876;49702;48858;50796;41829;42043;52976;58072;59246;59576;899415
"CID-XV";5045;106596;105983;103414;105189;105567;104346;106406;111443;109717;111232;112488;110593;107275;102583;100178;99984;91874;91492;1891405
"Total";44277;719192;729545;722667;710975;723531;738183;764249;759828;750360;753112;747394;769415;664747;719533;772181;799639;829224;803977;13522029
