"Região/Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"Região Norte";246;2357;2426;2695;3032;3217;3517;3715;4129;4549;4978;5376;5386;5130;6496;7707;7925;8580;8729;90190
".. Rondônia";7;144;191;280;330;342;509;569;590;674;583;804;827;784;959;1090;1327;1185;944;12139
".. Acre";8;100;130;136;152;133;158;155;185;187;155;196;188;186;208;248;332;351;339;3547
".. Amazonas";83;757;764;909;1034;997;895;830;1012;1194;1578;1553;1556;1296;1632;1974;1856;2309;2859;25088
".. Roraima";2;33;38;50;57;36;43;79;92;111;109;108;181;193;248;383;322;229;168;2482
".. Pará";112;1016;940;975;1089;1263;1482;1583;1795;1884;2066;2274;2044;2135;2772;3052;2998;3254;3274;36008
".. Amapá";12;59;91;65;84;82;87;79;72;84;119;146;150;104;182;233;342;320;348;2659
".. Tocantins";22;248;272;280;286;364;343;420;383;415;368;295;440;432;495;727;748;932;797;8267
"Região Nordeste";827;9626;11788;13418;15551;17052;17257;19375;19649;19971;22140;23431;26782;24762;28839;31245;33656;36463;37986;409818
".. Maranhão";34;388;397;497;828;785;1100;1145;1009;1030;1124;1488;1753;1344;1615;1856;2110;2278;2471;23252
".. Piauí";47;571;755;891;1206;1283;1071;1266;1426;1709;1683;1841;2015;1652;1669;2048;2070;2199;2295;27697
".. Ceará";240;1622;2453;2628;3109;3203;2826;2744;2612;2939;3216;3199;3631;3690;4914;5508;5346;5645;5737;65262
".. Rio Grande do Norte";42;568;772;849;1042;1288;1101;1510;1845;1626;1903;2148;2495;2083;2280;2556;3084;3718;4258;35168
".. Paraíba";81;666;860;870;917;937;918;957;859;811;1421;1665;1613;1454;1591;1723;2919;3108;3216;26586
".. Pernambuco";181;2059;2356;2469;2711;3362;3639;4347;4342;4219;4591;4240;5106;4779;5402;5458;5443;5659;6823;77186
".. Alagoas";34;313;335;389;449;593;720;770;860;695;858;970;796;899;992;1217;1304;1375;1370;14939
".. Sergipe";21;330;456;576;579;628;807;1005;1056;850;929;1119;1174;1114;1299;1429;1517;1656;1371;17916
".. Bahia";147;3109;3404;4249;4710;4973;5075;5631;5640;6092;6415;6761;8199;7747;9077;9450;9863;10825;10445;121812
"Região Sudeste";2313;33912;35951;38928;41693;44153;44545;48089;50436;53956;55825;59210;65107;64052;68595;79944;82458;86934;90937;1047038
".. Minas Gerais";799;8749;9532;9445;10218;11143;10963;11614;11858;12425;13176;14029;14883;15259;16721;18931;19449;21242;22228;252664
".. Espírito Santo";101;911;969;1080;1242;1242;1426;2124;2074;2271;2660;2654;2844;3099;3660;3721;3466;3392;3608;42544
".. Rio de Janeiro";298;4946;5225;5698;6390;6314;6373;7156;7503;7724;8136;8978;9758;8763;9964;13749;15258;16284;17105;165622
".. São Paulo";1115;19306;20225;22705;23843;25454;25783;27195;29001;31536;31853;33549;37622;36931;38250;43543;44285;46016;47996;586208
"Região Sul";1179;13828;14265;15724;16199;16201;16568;18994;20884;22659;23115;22792;24717;25086;26472;30901;33586;33827;32543;409540
".. Paraná";380;4688;4420;5114;5045;4985;5048;6070;6893;7744;7840;7362;7744;8125;8077;9949;10545;9883;9622;129534
".. Santa Catarina";316;2994;3470;3567;3920;3891;3912;4291;4999;5631;5399;5711;6414;6196;6692;7455;8248;8750;9132;100988
".. Rio Grande do Sul";483;6146;6375;7043;7234;7325;7608;8633;8992;9284;9876;9719;10559;10765;11703;13497;14793;15194;13789;179018
"Região Centro-Oeste";271;3665;4067;4479;4627;4599;4908;5170;5519;6442;7597;9201;10181;11117;12148;14069;14421;15127;16000;153608
".. Mato Grosso do Sul";73;748;814;867;788;834;1039;979;999;1176;1564;1603;1663;1998;2087;2489;2836;2354;2239;27150
".. Mato Grosso";54;758;788;869;952;968;1080;1298;1549;1468;1726;1934;2210;2065;2170;2454;2286;2283;2563;29475
".. Goiás";77;1383;1724;1898;1936;1960;1980;2015;2160;2643;2861;3904;4291;5038;5776;6781;7060;8381;8607;70475
".. Distrito Federal";67;776;741;845;951;837;809;878;811;1155;1446;1760;2017;2016;2115;2345;2239;2109;2591;26508
"Total";4836;63388;68497;75244;81102;85222;86795;95343;100617;107577;113655;120010;132173;130147;142550;163866;172046;180931;186195;2110194
