"Região/Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"Região Norte";203;1361;376;264;171;160;128;148;115;162;156;154;152;125;163;207;230;293;271;4839
".. Rondônia";1;6;19;14;30;25;13;34;23;34;29;16;35;25;32;32;46;54;66;534
".. Acre";-;5;15;33;18;12;7;9;4;10;9;6;6;5;13;10;8;13;19;202
".. Amazonas";172;1024;69;40;18;27;26;23;19;22;10;15;16;14;11;13;24;48;58;1649
".. Roraima";-;-;30;6;9;6;3;7;5;4;13;6;11;6;5;17;2;3;2;135
".. Pará";29;263;205;140;65;37;29;29;26;36;33;64;52;30;48;79;90;113;100;1468
".. Amapá";-;3;2;3;7;3;9;11;5;9;7;3;3;6;10;6;6;11;4;108
".. Tocantins";1;60;36;28;24;50;41;35;33;47;55;44;29;39;44;50;54;51;22;743
"Região Nordeste";47;1309;1458;1669;1703;1610;1883;1521;1623;1390;1837;1884;1340;914;1005;1020;1485;1445;1567;26710
".. Maranhão";3;60;121;117;80;35;39;30;41;31;48;54;42;50;58;75;59;93;104;1140
".. Piauí";1;30;22;47;35;23;34;41;36;38;42;42;31;18;27;33;50;80;64;694
".. Ceará";13;353;395;331;277;190;182;163;152;88;94;84;120;105;121;177;273;174;173;3465
".. Rio Grande do Norte";5;156;101;193;277;330;306;228;160;148;138;57;70;101;89;104;191;171;188;3013
".. Paraíba";5;49;32;50;42;44;73;106;128;98;136;146;111;37;52;43;320;185;306;1963
".. Pernambuco";13;298;517;576;642;715;964;742;891;793;1127;1115;560;333;314;264;256;293;347;10760
".. Alagoas";-;209;73;170;203;116;168;89;64;56;71;81;130;59;69;53;67;75;77;1830
".. Sergipe";4;21;34;35;15;15;13;13;16;21;15;20;9;16;31;28;25;41;29;401
".. Bahia";3;133;163;150;132;142;104;109;135;117;166;285;267;195;244;243;244;333;279;3444
"Região Sudeste";150;2100;3857;3405;2614;2585;2627;2668;2953;2952;2900;2775;3035;2473;2725;3238;3539;3810;3972;54378
".. Minas Gerais";50;528;646;832;597;601;686;649;688;788;686;707;709;638;660;836;845;945;972;13063
".. Espírito Santo";13;106;164;170;141;120;180;152;175;168;162;209;202;152;148;202;220;273;252;3209
".. Rio de Janeiro";9;283;1710;1000;351;330;298;332;386;344;357;359;454;296;485;574;612;573;698;9451
".. São Paulo";78;1183;1337;1403;1525;1534;1463;1535;1704;1652;1695;1500;1670;1387;1432;1626;1862;2019;2050;28655
"Região Sul";132;1912;1941;1924;1702;2000;2116;1971;2078;2469;2699;2551;2556;2385;2256;3070;2973;3263;3131;43129
".. Paraná";54;860;716;787;673;748;719;795;792;924;1026;969;914;924;902;1248;1065;1041;966;16123
".. Santa Catarina";51;302;439;372;351;415;543;445;490;597;657;670;663;595;610;833;869;1103;1037;11042
".. Rio Grande do Sul";27;750;786;765;678;837;854;731;796;948;1016;912;979;866;744;989;1039;1119;1128;15964
"Região Centro-Oeste";16;307;512;519;460;324;356;321;387;372;368;367;467;355;502;434;469;570;556;7662
".. Mato Grosso do Sul";2;122;161;165;132;85;64;68;59;61;68;55;87;64;131;115;82;135;74;1730
".. Mato Grosso";9;43;169;146;132;107;121;121;162;112;133;118;87;65;101;68;97;133;142;2066
".. Goiás";2;94;121;114;132;95;132;95;130;142;109;146;234;184;197;197;231;232;265;2852
".. Distrito Federal";3;48;61;94;64;37;39;37;36;57;58;48;59;42;73;54;59;70;75;1014
"Total";548;6989;8144;7781;6650;6679;7110;6629;7156;7345;7960;7731;7550;6252;6651;7969;8696;9381;9497;136718
