"Região/Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"Região Norte";14;310;347;421;384;331;326;415;818;828;803;578;818;773;852;954;1158;1783;3104;15017
".. Rondônia";-;19;35;33;81;36;45;73;102;117;102;103;211;172;233;242;329;519;506;2958
".. Acre";-;47;44;56;38;16;7;8;7;9;5;17;19;12;23;23;18;24;33;406
".. Amazonas";2;42;39;17;28;31;21;72;470;442;342;49;62;40;66;65;70;161;1441;3460
".. Roraima";-;2;18;71;34;8;6;18;16;17;15;11;23;21;12;56;44;14;9;395
".. Pará";9;142;123;135;106;117;129;125;139;133;162;200;332;327;285;307;386;737;844;4738
".. Amapá";-;4;9;4;8;7;9;6;11;10;15;6;11;11;20;15;8;47;50;251
".. Tocantins";3;54;79;105;89;116;109;113;73;100;162;192;160;190;213;246;303;281;221;2809
"Região Nordeste";174;3597;3538;3782;4464;4186;4201;4015;4393;4479;6801;8612;9052;6285;8280;10190;10714;14378;16472;127613
".. Maranhão";63;462;548;537;498;476;432;556;635;645;823;1016;1073;721;838;931;870;1184;1189;13497
".. Piauí";13;373;475;421;374;473;517;464;206;216;228;347;326;86;161;183;235;307;440;5845
".. Ceará";30;685;506;429;511;361;514;523;492;439;1115;1172;1461;1089;1446;2248;1814;2310;2709;19854
".. Rio Grande do Norte";12;254;527;458;563;415;826;1086;1350;1054;1517;1866;1881;1285;1367;1578;1765;1938;2461;22203
".. Paraíba";5;250;207;177;128;114;232;322;290;358;335;217;209;131;269;490;409;1001;1453;6597
".. Pernambuco";37;294;220;658;1019;1026;800;450;695;843;1322;1530;1782;1135;1726;1437;1836;3651;3882;24343
".. Alagoas";6;88;52;51;80;118;167;152;191;270;379;435;460;408;578;775;746;725;748;6429
".. Sergipe";2;49;54;46;61;67;86;70;45;58;79;85;66;105;205;226;324;494;409;2531
".. Bahia";6;1142;949;1005;1230;1136;627;392;489;596;1003;1944;1794;1325;1690;2322;2715;2768;3181;26314
"Região Sudeste";250;4849;5839;7085;8329;9952;11047;12848;13914;15176;15597;17298;20001;13705;15433;19034;23496;28506;32588;274947
".. Minas Gerais";34;1131;1183;1366;1683;1770;2053;2665;2727;3262;3393;3640;4178;3176;3522;4355;5523;6470;7466;59597
".. Espírito Santo";9;142;195;349;355;485;615;965;1023;1174;1075;1098;1568;994;1382;1301;1793;2061;3006;19590
".. Rio de Janeiro";21;612;748;858;827;653;748;811;900;743;940;1063;1499;1029;1331;1639;2018;2303;2483;21226
".. São Paulo";186;2964;3713;4512;5464;7044;7631;8407;9264;9997;10189;11497;12756;8506;9198;11739;14162;17672;19633;174534
"Região Sul";165;3978;4913;6019;6097;6513;7684;8771;10112;10996;12558;14128;15966;12493;13854;17682;20065;23719;24987;220700
".. Paraná";89;2482;3018;3436;3149;3517;4251;4653;5457;5224;6127;7314;7391;5713;6385;8087;9133;10231;10295;105952
".. Santa Catarina";30;480;710;977;1004;955;1219;1397;1792;2432;2639;2683;3188;2650;3056;4058;5132;6931;7943;49276
".. Rio Grande do Sul";46;1016;1185;1606;1944;2041;2214;2721;2863;3340;3792;4131;5387;4130;4413;5537;5800;6557;6749;65472
"Região Centro-Oeste";25;1240;1383;1623;1830;1804;2311;2542;2518;2748;3357;3480;3860;2792;3609;3874;4642;5189;5954;54781
".. Mato Grosso do Sul";14;322;307;207;273;386;404;404;363;435;683;783;1280;817;1194;1285;1259;1315;1238;12969
".. Mato Grosso";7;62;132;157;267;356;452;508;638;596;839;572;744;470;586;705;1085;1408;1672;11256
".. Goiás";1;693;740;1031;1087;966;1332;1527;1419;1574;1626;1955;1607;1367;1550;1606;1988;2116;2639;26824
".. Distrito Federal";3;163;204;228;203;96;123;103;98;143;209;170;229;138;279;278;310;350;405;3732
"Total";628;13974;16020;18930;21104;22786;25569;28591;31755;34227;39116;44096;49697;36048;42028;51734;60075;73575;83105;693058

