"Estado";2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025
"Total";189612814;191480630;190755799;192376496;193946886;201032714;202768562;204450649;206081432;207660929;208494900;210147125;211755692;213317639;203080756;212583750;213421037
"Região Norte";15142684;15359608;15864454;16094959;16318163;16983484;17231027;17472636;17707783;17936201;18182253;18430980;18672591;18906962;17354884;18669345;18801282
"Rondônia";1493566;1503928;1562409;1576423;1590011;1728214;1748531;1768204;1787279;1805788;1757589;1777225;1796460;1815278;1581196;1746227;1751950
"Acre";680073;691132;733559;746375;758786;776463;790101;803513;816687;829619;869265;881935;894470;906876;830018;880631;884372
"Amazonas";3341096;3393369;3483985;3538359;3590985;3807921;3873743;3938336;4001667;4063614;4080611;4144597;4207714;4269995;3941613;4281209;4321616
"Roraima";412783;421499;450479;460157;469524;488072;496936;505665;514229;522636;576568;605761;631181;652713;636707;716793;738772
"Pará";7321493;7431020;7581051;7688531;7792561;7969654;8073924;8175113;8272724;8366628;8513497;8602865;8690745;8777124;8120131;8664306;8711196
"Amapá";613164;626609;669526;684301;698602;734996;750912;766679;782295;797722;829494;845731;861773;877613;733759;802837;806517
"Tocantins";1280509;1292051;1383445;1400813;1417694;1478164;1496880;1515126;1532902;1550194;1555229;1572866;1590248;1607363;1511460;1577342;1586859
"Região Nordeste";53088499;53591197;53081950;53500965;53907144;55794707;56186190;56560081;56915936;57254159;56760780;57071654;57374243;57667842;54658515;57112096;57244485
"Maranhão";6305539;6367138;6574789;6645665;6714314;6794301;6850884;6904241;6954036;7000229;7035055;7075181;7114598;7153262;6776699;7010960;7018211
"Piauí";3119697;3145325;3118360;3140213;3160748;3184166;3194718;3204028;3212180;3219257;3264531;3273227;3281480;3289290;3271199;3375646;3384547
"Ceará";8450527;8547809;8452381;8530058;8606005;8778576;8842791;8904459;8963663;9020460;9075649;9132078;9187103;9240580;8794957;9233656;9268836
"Rio Grande do Norte";3106430;3137541;3168027;3198572;3228198;3373959;3408510;3442175;3474998;3507003;3479010;3506853;3534165;3560903;3302729;3446071;3455236
"Paraíba";3742606;3769977;3766528;3791200;3815171;3914421;3943885;3972202;3999415;4025558;3996496;4018127;4039277;4059905;3974687;4145040;4164468
"Pernambuco";8734194;8810256;8796448;8864803;8931028;9208550;9277727;9345173;9410336;9473266;9496294;9557071;9616621;9674793;9058931;9539029;9562007
"Alagoas";3127557;3156108;3120494;3143338;3165472;3300935;3321730;3340932;3358963;3375823;3322820;3337357;3351543;3365351;3127683;3220104;3220848
"Sergipe";1999374;2019679;2068017;2089783;2110867;2195662;2219574;2242937;2265779;2288116;2278308;2298696;2318822;2338474;2210004;2291077;2299425
"Bahia";14502575;14637364;14016906;14097333;14175341;15044137;15126371;15203934;15276566;15344447;14812617;14873064;14930634;14985284;14141626;14850513;14870907
"Região Sudeste";80187717;80915332;80364410;80974794;81565983;84465570;85115623;85745520;86356952;86949714;87711946;88371433;89012240;89632912;84840113;88617693;88825643
"Minas Gerais";19850072;20033665;19597330;19728252;19855332;20593356;20734097;20869101;20997560;21119536;21040662;21168791;21292666;21411923;20539989;21322691;21393441
"Espírito Santo";3453648;3487199;3514952;3547013;3578067;3839366;3885049;3929911;3973697;4016356;3972388;4018650;4064052;4108508;3833712;4102129;4126854
"Rio de Janeiro";15872362;16010429;15989929;16112637;16231365;16369179;16461173;16550024;16635996;16718956;17159960;17264943;17366189;17463349;16055174;17219679;17223547
"São Paulo";41011635;41384039;41262199;41586892;41901219;43663669;44035304;44396484;44749699;45094866;45538936;45919049;46289333;46649132;44411238;45973194;46081801
"Região Sul";27497970;27719118;27386891;27561827;27731644;28795762;29016114;29230180;29439773;29644948;29754036;29975984;30192315;30402587;29937706;31113021;31310809
"Paraná";10590169;10686247;10444526;10512151;10577755;10997465;11081692;11163018;11242720;11320892;11348937;11433957;11516840;11597484;11444380;11824665;11890517
"Santa Catarina";6052587;6118743;6248436;6316906;6383286;6634254;6727148;6819190;6910553;7001161;7075494;7164788;7252502;7338473;7610361;8058441;8187029
"Rio Grande do Sul";10855214;10914128;10693929;10732770;10770603;11164043;11207274;11247972;11286500;11322895;11329605;11377239;11422973;11466630;10882965;11229915;11233263
"Região Centro-Oeste";13695944;13895375;14058094;14243951;14423952;14993191;15219608;15442232;15660988;15875907;16085885;16297074;16504303;16707336;16289538;17071595;17238818
"Mato Grosso do Sul";2336058;2360498;2449024;2477504;2505088;2587269;2619657;2651235;2682386;2713147;2748023;2778986;2809394;2839188;2757013;2901895;2924631
"Mato Grosso";2957732;3001692;3035122;3075862;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466;3526220;3567234;3658649;3836399;3893659
"Goiás";5844996;5926300;6003788;6080588;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354;7113540;7206589;7056495;7350483;7423629
"Distrito Federal";2557158;2606885;2570160;2609997;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268;3055149;3094325;2817381;2982818;2996899
